id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
886,1.290.000 ₫,0,1,1,4.7,378,3,5.0
887,2.600.000 ₫,0,2,2,4.7,5939,2,4.0
888,1.494.000 ₫,-40%,10,31,4.5,8294,6,4.7
889,365.000 ₫,0,2,3,4.0,7,1,5.0
890,715.000 ₫,0,1,3,4.6,251,2,5.0
891,271.000 ₫,-46%,1,1,4.3,237,4,1.0
892,100.000 ₫,0,3,5,4.5,35,2,5.0
893,250.000 ₫,-50%,3,9,4.3,237,4,5.0
894,6.590 ₫,0,3,29,4.3,2457,5,4.7
895,89.500 ₫,-50%,4,10,4.7,331,2,5.0
896,324.000 ₫,-28%,94,212,4.7,2048,4,4.6
897,78.000 ₫,-46%,16,54,4.6,441,4,4.4
898,339.000 ₫,-43%,14,50,4.6,19,1,4.8
899,50.000 ₫,0,1,7,4.4,135,1,4.0
900,29.000 ₫,0,2,10,4.7,91,0,2.5
901,68.000 ₫,-20%,1,2,4.8,11,3,5.0
902,418.000 ₫,-7%,1,1,3.7,3,2,4.0
903,10.500 ₫,0,0,8,4.4,75,0,0.0
904,250.000 ₫,-50%,4,12,4.3,237,4,4.3
905,450.000 ₫,-50%,6,13,4.6,77,2,4.3
906,30.000 ₫,0,1,2,4.7,91,0,5.0
907,115.000 ₫,0,9,52,4.5,1843,1,3.9
908,680.000 ₫,0,2,5,4.6,3072,1,5.0
909,190.000 ₫,0,2,6,4.8,21708,5,5.0
910,25.000 ₫,0,3,25,4.2,82,1,3.7
911,35.000 ₫,-50%,29,115,4.6,441,3,4.8
912,550.000 ₫,0,9,18,4.6,3072,1,4.9
913,249.000 ₫,-45%,1,4,4.6,1638,2,5.0
914,17.000 ₫,0,1,12,3.9,48,2,5.0
915,23.000 ₫,0,6,20,4.7,73,0,4.8
916,178.000 ₫,0,3,12,4.4,35,1,5.0
917,37.000 ₫,-8%,8,11,4.6,85,1,4.9
918,254.250 ₫,-25%,17,55,4.8,166,2,4.8
919,2.400.000 ₫,0,1,1,4.0,52,2,5.0
920,399.000 ₫,0,2,3,4.0,38,1,3.0
921,269.000 ₫,-36%,1,2,4.3,6,1,4.0
922,1.498.000 ₫,-50%,1,3,4.7,32153,7,4.0
