,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
753,131.000 ₫,0,1,3,4.7,0,3,5
754,34.000 ₫,0,6,74,4.4,273,0,4
755,55.000 ₫,-30%,13,35,4.1,130,1,4
756,145.000 ₫,0,11,34,3.9,849,1,3.7
757,11.000 ₫,0,10,91,3.5,1536,2,4
758,256.000 ₫,0,2,31,3.9,849,1,3.2
759,185.000 ₫,0,11,7,4.0,122,1,5
760,99.000 ₫,0,4,6,4.7,2662,5,4.8
761,149.000 ₫,-31%,32,90,4.7,802,1,4.8
762,56.000 ₫,-43%,4,12,4.5,5222,7,4.8
763,65.000 ₫,0,0,0,3.6,23,2,0
764,158.000 ₫,-47%,5,20,4.5,2048,6,4.6
765,930.000 ₫,0,1,2,4.5,162,2,5
766,390.000 ₫,0,1,1,4.7,13,1,4
767,82.000 ₫,0,8,74,3.9,565,1,3.8
768,139.000 ₫,-25%,1,2,4.2,114,3,5
769,159.000 ₫,0,40,127,4.4,292,4,4.6
770,418.950 ₫,-12%,1,2,4.7,952,3,5
771,307.000 ₫,-12%,3,3,4.6,464,4,5
772,125.000 ₫,-31%,1,1,4.5,1,2,5
773,75.000 ₫,0,3,48,4.6,45,1,4.7
774,159.000 ₫,0,55,143,4.2,828,1,4.1
775,350.000 ₫,-17%,11,27,3.7,194,2,3.7
776,145.000 ₫,0,12,63,3.9,849,1,4.3
777,78.496 ₫,0,4,68,4.0,214,1,4.8
778,110.000 ₫,0,1,5,5.0,4,1,5
779,204.000 ₫,-21%,11,47,4.3,530,5,4.9
780,100.000 ₫,-11%,3,12,4.2,840,5,4.3
781,165.000 ₫,-20%,5,19,3.8,414,2,2.6
782,179.000 ₫,-40%,3,3,4.6,1843,4,4.7
783,87.000 ₫,0,1,9,3.9,849,1,5
784,255.000 ₫,0,21,36,4.7,2662,5,4.8
785,169.000 ₫,-10%,2,11,4.1,40,1,3
786,125.000 ₫,-20%,12,29,4.1,295,2,4.2
787,559.000 ₫,0,1,1,4.0,14,1,2
788,690.000 ₫,0,4,8,4.6,43,1,5
789,139.000 ₫,-25%,2,3,4.2,114,3,4.5
790,120.000 ₫,0,16,36,4.3,46,1,4
791,188.000 ₫,0,22,65,3.9,565,1,3.5
792,129.000 ₫,-26%,1,2,4.0,54,3,5
793,40.000 ₫,-20%,10,21,4.6,2252,0,4.7
794,119.000 ₫,-40%,12,39,3.8,189,4,4.4
795,69.000 ₫,0,0,0,3.6,23,2,0
796,45.000 ₫,-21%,4,11,4.0,279,2,4.8
797,189.000 ₫,0,2,10,4.0,11,1,5
798,80.000 ₫,0,15,33,4.5,2252,6,4.3
