,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,432.000 ₫,-7%,3,5,4.8,21708,5,4
1,648.000 ₫,0,3,3,4.2,17,2,3
2,189.000 ₫,0,4,8,4.4,91,2,3.8
3,239.000 ₫,0,4,11,4.4,91,2,0
4,239.000 ₫,0,9,24,4.5,17,1,0
5,86.000 ₫,-43%,9,42,4.6,441,4,0
6,30.000 ₫,0,5,16,4.4,18,0,3.2
7,1.445.000 ₫,-50%,3,7,4.5,514,5,4.7
8,109.000 ₫,-25%,2,5,4.2,82,2,4
9,165.000 ₫,-18%,7,17,4.0,36,2,4.1
10,169.000 ₫,0,1,4,4.0,47,1,5
11,350.000 ₫,0,12,16,4.3,129,1,4.5
12,5.290.000 ₫,0,1,2,4.6,147,2,5
13,179.000 ₫,-40%,4,9,4.7,719,5,4.8
14,60.000 ₫,0,6,29,4.4,18,1,5
15,179.000 ₫,0,4,10,4.4,618,1,4.8
16,148.500 ₫,0,11,34,4.5,1843,1,4.5
17,199.999 ₫,0,2,2,4.3,152,2,0
18,261.750 ₫,-25%,2,2,4.8,166,2,0
19,113.000 ₫,-12%,3,9,4.2,82,2,4.3
20,390.000 ₫,-19%,2,5,4.5,19,1,0
21,69.000 ₫,0,0,0,4.4,273,1,0
22,62.500 ₫,0,1,2,4.6,579,4,5
23,250.000 ₫,0,41,119,4.4,194,2,0
24,481.390 ₫,-9%,1,2,4.6,544,4,5
25,79.000 ₫,0,1,1,4.7,91,1,5
26,289.000 ₫,-36%,3,6,4.5,2457,3,0
27,125.000 ₫,0,2,3,4.6,3,1,5
28,548.000 ₫,-35%,33,66,4.7,2150,4,4.7
29,288.000 ₫,-17%,14,35,4.0,241,1,4.3
30,1.200.000 ₫,0,1,1,4.7,5939,2,5
31,98.000 ₫,0,1,2,3.4,4,1,3
32,260.000 ₫,0,9,46,3.4,4,1,0
33,590.000 ₫,0,3,4,4.6,3072,1,5
34,460.000 ₫,-50%,3,7,4.6,43,2,4.7
35,99.000 ₫,0,4,13,4.4,35,1,4.8
36,259.000 ₫,-35%,8,23,4.5,2457,3,4.6
37,156.000 ₫,0,9,12,4.5,1843,1,4.4
38,385.000 ₫,0,52,125,4.2,26,1,4.3
39,32.000 ₫,0,1,1,4.4,273,0,4
40,29.000 ₫,0,1,9,4.2,1331,3,0
41,99.000 ₫,0,16,41,4.2,169,1,4
42,185.000 ₫,0,12,36,4.5,1843,1,4.8
43,319.000 ₫,0,1,1,5.0,6,1,5
44,680.000 ₫,0,1,4,4.6,3072,1,4
45,109.000 ₫,0,1,8,4.3,3,1,5
46,89.500 ₫,-44%,10,25,4.7,331,2,4.6
47,990.000 ₫,0,2,14,4.4,137,2,4.5
48,99.000 ₫,0,1,4,4.3,14,2,0
49,498.000 ₫,-26%,1,1,4.4,71,1,0
50,290.000 ₫,-40%,1,1,4.6,43,2,5
51,75.000 ₫,-50%,16,103,4.6,441,4,0
52,326.690 ₫,-9%,16,36,4.6,544,4,4.6
53,1.200.000 ₫,-40%,1,5,4.7,5939,2,4
54,69.800 ₫,0,4,10,4.5,66,1,5
55,1.190.000 ₫,0,1,2,4.7,378,3,0
56,140.000 ₫,-50%,4,7,4.6,43,2,4.5
57,199.000 ₫,0,14,29,3.8,50,1,4.4
58,34.999 ₫,0,0,4,4.3,5,0,0
59,180.375 ₫,-35%,10,20,4.5,51,2,0
60,370.000 ₫,-17%,7,9,4.3,97,2,4.6
61,280.000 ₫,-20%,2,4,4.6,1,1,4
62,370.000 ₫,-17%,9,25,4.0,241,1,3.9
63,459.000 ₫,-23%,1,2,4.6,455,1,0
64,285.000 ₫,0,1,2,4.0,7,1,5
65,540.000 ₫,0,1,2,4.0,8,1,5
66,115.000 ₫,0,5,8,4.4,35,1,0
67,32.000 ₫,0,1,5,4.4,741,0,5
68,229.000 ₫,0,3,10,4.3,152,2,3.7
69,199.000 ₫,0,57,128,4.4,261,1,4.6
70,279.000 ₫,-30%,2,4,4.4,78,3,0
71,59.500 ₫,0,1,1,4.5,182,1,4
72,300.000 ₫,0,7,24,4.6,312,1,4.7
73,59.200 ₫,0,14,39,4.0,396,5,4.4
74,299.000 ₫,0,8,12,4.2,87,2,0
75,261.750 ₫,-25%,4,8,4.8,166,2,4.5
76,249.000 ₫,-17%,1,2,4.4,19,1,4
77,16.788 ₫,0,1,4,4.2,453,4,0
78,418.000 ₫,-54%,28,52,4.8,238,1,4.9
79,699.000 ₫,0,1,2,4.4,135,1,4
80,189.000 ₫,-17%,1,5,5.0,2,2,5
81,168.000 ₫,0,25,66,3.9,77,1,0
82,26.000 ₫,0,3,168,4.6,3,0,4.7
83,380.000 ₫,0,38,86,4.3,263,2,0
84,169.000 ₫,0,1,2,4.3,3,1,4
85,199.000 ₫,-17%,3,10,4.7,33,2,5
86,324.000 ₫,-28%,153,283,4.7,2048,4,0
87,223.500 ₫,0,53,169,4.5,1843,1,4.5
88,324.000 ₫,-28%,47,108,4.7,2048,4,0
89,27.000 ₫,0,3,7,4.2,169,0,0
90,39.000 ₫,0,5,14,3.9,48,2,4.8
91,375.000 ₫,-22%,3,8,4.6,43,2,4.3
92,305.100 ₫,-10%,3,11,4.5,51,1,0
93,175.000 ₫,-30%,2,9,4.4,19,1,2.5
94,269.000 ₫,-46%,1,1,4.3,237,4,4
95,339.000 ₫,0,1,2,4.9,21,4,5
96,523.000 ₫,0,32,61,4.3,263,2,0
97,339.000 ₫,0,4,13,4.9,21,4,5
98,950.000 ₫,-52%,1,4,4.7,32153,7,5
99,259.000 ₫,0,1,1,4.4,63,5,5
100,204.000 ₫,0,12,44,3.6,22,1,2.8
101,50.000 ₫,0,1,1,4.4,6,1,0
102,299.000 ₫,-23%,3,9,4.5,2457,3,4.7
103,610.000 ₫,0,1,8,4.6,3072,1,5
104,259.000 ₫,0,2,3,4.6,5,1,0
105,549.000 ₫,-31%,2,2,4.5,2457,3,5
106,189.000 ₫,-14%,8,25,4.4,104,5,3.9
107,70.000 ₫,0,0,3,4.4,4,1,0
108,795.000 ₫,0,23,57,4.7,32153,6,0
109,299.000 ₫,-25%,25,120,4.5,2457,3,0
110,261.750 ₫,-25%,1,4,4.8,166,2,5
111,299.000 ₫,0,1,1,4.7,5939,1,0
112,109.000 ₫,0,82,204,4.2,87,2,4.3
113,259.000 ₫,0,1,1,4.4,63,5,5
114,309.000 ₫,0,1,2,4.4,124,2,4
115,380.000 ₫,0,3,8,4.5,35,2,0
116,903.000 ₫,0,1,3,4.9,2662,5,4
117,326.690 ₫,-9%,8,26,4.6,544,4,4.8
118,565.000 ₫,-17%,3,13,4.1,77,1,0
119,259.000 ₫,-30%,19,46,4.5,2457,3,4.5
120,89.000 ₫,0,1,3,4.7,91,1,0
121,17.107 ₫,0,3,28,4.5,628,2,5
122,185.000 ₫,0,2,4,4.3,28,1,0
123,169.000 ₫,0,33,68,4.4,817,1,4.7
124,529.000 ₫,-32%,1,1,4.2,5,1,0
125,87.000 ₫,-25%,4,7,4.3,2355,4,4.8
126,262.990 ₫,-9%,3,7,4.6,544,4,0
127,165.000 ₫,0,20,61,4.4,618,1,4.2
128,175.000 ₫,0,2,4,4.2,169,1,4.5
129,16.999 ₫,0,2,17,4.5,317,1,0
130,376.000 ₫,-59%,2,6,4.5,185,1,5
131,119.000 ₫,-42%,1,1,4.4,242,2,0
132,598.500 ₫,0,2,3,3.9,248,2,4.5
133,450.000 ₫,-50%,2,3,4.6,77,2,0
134,550.000 ₫,0,3,5,4.6,3072,1,4.7
135,580.000 ₫,0,8,10,4.6,3072,1,4.8
136,75.000 ₫,-50%,7,42,4.6,441,4,4.7
137,260.000 ₫,0,1,4,4.7,286,2,0
138,349.000 ₫,-21%,2,5,4.4,8,1,3.5
139,339.000 ₫,0,14,36,4.3,263,2,4.5
140,249.000 ₫,0,1,10,4.3,86,1,5
141,169.000 ₫,0,28,75,4.4,817,1,0
142,5.000 ₫,0,1,13,4.7,28,0,5
143,259.000 ₫,0,1,1,4.4,63,5,1
