,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
0,0,0,23,69,4.6,1843,4,4.7
1,59.000 ₫,0,7,18,4.1,59,1,4.9
2,199.000 ₫,-67%,11,25,4.7,952,3,4.9
3,119.000 ₫,0,97,273,4.3,157,5,4.4
4,359.000 ₫,0,5,13,3.4,546,1,4.8
5,95.000 ₫,-65%,8,17,4.7,952,3,1.8
6,199.000 ₫,-38%,579,2667,4.5,5222,7,4.5
7,124.000 ₫,-34%,440,2090,4.7,2867,3,4.7
8,199.000 ₫,-67%,18,66,4.7,952,3,5
9,272.000 ₫,-17%,2,4,3.7,65,5,4
10,283.000 ₫,-53%,53,140,4.8,238,1,0
11,194.000 ₫,-24%,941,3169,4.7,2867,3,4.6
12,159.000 ₫,0,26,83,4.7,802,1,5
13,49.000 ₫,-50%,1,12,3.9,849,1,0
14,320.000 ₫,0,5,18,4.2,18,1,4.6
15,200.000 ₫,-16%,2,13,4.7,11161,5,5
16,371.000 ₫,-54%,25,71,4.8,238,1,5
17,87.000 ₫,0,1,1,4.3,570,1,4.9
18,333.000 ₫,0,9,50,3.7,65,5,4
19,95.000 ₫,-36%,7,42,4.7,802,1,4.9
20,119.000 ₫,0,11,34,4.7,2662,5,4.6
21,200.000 ₫,0,10,28,4.1,2662,5,0
22,129.000 ₫,0,7,11,4.7,566,2,4.7
23,99.000 ₫,0,167,540,4.4,284,2,0
24,75.000 ₫,0,6,12,4.7,952,3,4.8
25,180.000 ₫,-40%,44,89,4.6,1740,4,4.8
26,60.000 ₫,-25%,64,167,4.5,2252,6,4.4
27,169.000 ₫,-64%,23,99,4.7,952,3,4.7
28,245.000 ₫,-50%,144,410,4.6,236,1,4.9
29,99.000 ₫,0,12,28,4.7,2662,5,0
30,55.000 ₫,0,98,391,4.3,1331,3,4.1
31,195.000 ₫,0,32,95,3.9,849,1,4.3
32,85.000 ₫,-39%,23,102,4.7,2662,5,4.9
33,100.000 ₫,0,21,91,4.7,566,2,4.5
34,99.000 ₫,0,51,167,4.1,11673,4,4.9
35,200.000 ₫,0,45,123,4.2,1843,5,4.9
36,169.000 ₫,-69%,34,143,4.7,952,3,0
