id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
107,28.000 ₫,0,4,66,4.5,57,3,0.0
108,299.000 ₫,-25%,23,70,4.6,409,3,4.0
109,89.000 ₫,0,4,49,4.5,87,3,3.0
110,440.000 ₫,0,119,996,4.8,129433,4,4.7
111,252.200 ₫,-3%,32,107,4.6,108,2,4.6
112,88.000 ₫,-45%,27,127,4.7,83,1,4.9
113,180.000 ₫,-20%,20,97,4.6,409,3,4.9
114,309.000 ₫,-14%,13,46,4.8,405,9,4.2
115,86.000 ₫,-43%,481,1979,4.5,901,6,4.8
116,248.000 ₫,-16%,6,55,4.3,96,4,4.7
117,153.260 ₫,-3%,43,155,4.6,108,2,4.5
118,150.000 ₫,-40%,6,10,4.9,5,1,4.8
119,88.000 ₫,-48%,6,50,4.7,1945,5,4.8
120,34.000 ₫,-31%,63,226,4.7,1331,2,4.8
121,90.000 ₫,0,32,368,4.6,77,1,4.8
122,338.000 ₫,0,40,411,4.4,238,1,0.0
123,359.000 ₫,-22%,10,96,4.8,462,4,4.9
124,459.000 ₫,0,12,43,4.1,1433,4,3.7
125,172.500 ₫,-25%,4,23,4.8,7270,4,4.5
126,387.000 ₫,0,4,20,5.0,10,2,0.0
127,348.750 ₫,-25%,22,65,4.8,7270,4,4.8
128,216.000 ₫,-10%,33,145,4.4,595,1,4.6
129,39.900 ₫,-37%,167,791,4.5,3379,8,4.5
130,94.000 ₫,-14%,19,88,4.7,1331,3,4.8
131,38.000 ₫,0,0,21,3.5,21,0,0.0
132,49.000 ₫,0,0,0,0.0,0,1,0.0
133,40.000 ₫,0,6,46,4.7,297,0,3.3
134,275.000 ₫,-19%,32,126,4.8,3379,5,4.8
135,240.000 ₫,-25%,6,18,4.8,7270,4,4.5
136,195.000 ₫,0,7,26,4.0,268,4,0.0
137,118.000 ₫,-11%,222,724,4.7,1331,3,4.7
138,199.000 ₫,0,34,179,4.5,481,3,4.1
139,250.000 ₫,0,39,106,4.9,137,1,4.9
140,379.000 ₫,-22%,11,26,4.8,3379,5,4.8
141,80.500 ₫,-20%,4,12,4.3,150,1,0.0
142,246.000 ₫,-28%,90,1137,4.0,750,3,4.1
143,29.999 ₫,0,0,5,4.1,88,0,0.0
144,45.000 ₫,0,4,9,5.0,0,1,5.0
145,209.000 ₫,-22%,49,138,4.8,3379,5,4.9
146,1.296.000 ₫,0,3,13,4.9,204,4,5.0
147,5.900 ₫,0,3,0,0.0,0,0,0.0
148,545.000 ₫,-3%,16,50,4.7,1331,3,4.9
149,155.000 ₫,-22%,0,1,4.2,479,2,0.0
150,208.000 ₫,-20%,6,14,4.7,187,5,4.5
151,157.999 ₫,0,2,9,4.1,88,1,5.0
152,355.000 ₫,-35%,8,71,4.8,462,4,5.0
153,92.000 ₫,0,0,0,4.2,2867,2,0.0
154,56.250 ₫,-25%,39,222,4.8,7270,4,4.9
155,36.800 ₫,0,5,42,4.3,2457,5,0.0
156,309.000 ₫,0,150,441,4.9,10649,2,4.8
157,189.000 ₫,0,6,137,4.6,14,1,4.8
158,269.000 ₫,-25%,26,83,4.8,3379,5,4.8
159,278.000 ₫,0,31,144,4.3,501,1,4.1
160,349.000 ₫,0,5,32,4.7,12390,2,0.0
161,17.000 ₫,0,15,122,4.2,479,1,5.0
162,420.000 ₫,0,3,20,4.4,78,3,4.3
163,545.000 ₫,-9%,5,49,4.7,4,3,4.6
164,115.800 ₫,-20%,4,17,4.4,273,1,0.0
165,525.000 ₫,0,79,231,4.7,1331,3,0.0
166,173.880 ₫,-8%,65,427,4.7,143,4,4.8
167,130.000 ₫,0,0,0,4.3,127,1,0.0
168,495.000 ₫,-3%,27,137,4.7,1331,3,0.0
169,279.000 ₫,-17%,7,48,4.8,141,2,0.0
170,117.000 ₫,-41%,0,0,4.2,479,2,0.0
171,280.000 ₫,0,12,60,4.8,10,2,4.8
172,104.000 ₫,-20%,27,407,4.3,786,1,0.0
173,119.000 ₫,-39%,93,308,4.5,3379,9,4.8
174,467.000 ₫,-22%,14,54,4.9,10649,2,4.9
175,145.000 ₫,-42%,23,127,4.7,1945,5,0.0
176,60.000 ₫,0,19,54,4.4,2969,2,4.6
177,135.000 ₫,-10%,21,70,4.7,1331,3,4.8
178,319.000 ₫,-29%,22,125,4.8,462,4,4.9
179,779.000 ₫,0,36,101,4.8,106,1,0.0
180,144.000 ₫,-20%,13,51,4.7,45,3,5.0
181,11.000 ₫,0,58,2728,4.6,40,0,0.0
182,20.000 ₫,0,65,723,4.0,750,2,4.8
183,178.000 ₫,-8%,152,500,4.7,1331,3,4.8
184,229.000 ₫,-11%,59,239,4.8,405,9,4.8
185,75.000 ₫,-46%,55,322,4.7,83,1,0.0
186,211.000 ₫,-13%,15,71,4.8,405,9,4.7
187,169.000 ₫,0,35,91,4.5,17,1,4.5
188,8.000 ₫,0,13,156,4.2,479,1,5.0
189,85.000 ₫,-26%,234,907,4.5,3584,7,4.5
