,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
237,129.000 ₫,0,10,20,4.5,109,4,3.6
238,176.000 ₫,-5%,5,20,4.8,21708,5,4.8
239,273.000 ₫,0,21,43,4.1,29,1,4.1
240,470.000 ₫,0,175,1492,4.6,1945,1,4.6
241,299.000 ₫,-34%,9,25,4.7,2150,4,4.6
242,299.000 ₫,-30%,7,17,4.4,194,2,4.9
243,78.000 ₫,0,41,160,4.4,774,2,4.1
244,75.000 ₫,-40%,2,4,4.5,2867,5,5
245,20.000 ₫,-33%,11,42,4.6,441,3,5
246,129.000 ₫,-14%,30,106,4.2,122,2,4.3
247,89.000 ₫,0,5,18,4.8,2,1,4.8
248,199.000 ₫,0,13,41,4.4,91,2,4.2
249,107.000 ₫,0,7,42,4.7,304,3,4.3
250,219.000 ₫,-49%,7,21,4.4,194,2,4.1
251,26.000 ₫,0,21,99,3.8,36,0,2.8
252,8.000 ₫,-47%,2,48,4.5,34,0,5
253,108.000 ₫,0,8,26,4.5,1843,1,4
254,1.134.000 ₫,-40%,4,28,4.5,8294,6,4.8
255,261.750 ₫,-25%,3,16,4.8,166,2,5
256,249.000 ₫,0,26,50,4.2,87,2,4.5
257,189.000 ₫,0,17,112,4.4,91,2,3.9
258,119.000 ₫,-50%,178,476,4.6,1638,2,4.5
259,15.000 ₫,-40%,47,320,4.4,194,1,4.6
260,15.000 ₫,-50%,14,75,4.6,441,3,4.9
261,155.000 ₫,-6%,81,245,4.5,312,1,4.2
262,20.000 ₫,-33%,33,142,4.6,441,3,4.8
263,119.000 ₫,-33%,6,26,4.5,51,2,4.8
264,90.000 ₫,0,15,75,4.5,87,1,4.8
265,548.000 ₫,-21%,60,126,4.7,2048,4,4.9
266,1.494.000 ₫,-40%,9,24,4.5,8294,6,4.8
267,75.000 ₫,0,2,8,4.4,3,2,5
268,350.000 ₫,0,19,48,4.3,263,2,4.5
269,1.194.000 ₫,-40%,18,34,4.5,8294,6,4.9
270,1.794.000 ₫,-40%,26,75,4.5,8294,6,4.2
271,324.000 ₫,-28%,50,128,4.7,2048,4,4.7
272,299.000 ₫,0,41,117,4.2,87,2,4.3
273,129.000 ₫,0,109,310,4.2,87,2,0
274,1.794.000 ₫,-40%,29,82,4.5,8294,6,4.7
275,379.000 ₫,0,29,66,4.4,124,2,4.6
276,47.000 ₫,-69%,28,68,4.3,1843,2,4.6
277,38.000 ₫,-37%,77,467,4.6,441,3,4.7
278,75.000 ₫,-38%,22,101,4.6,441,4,4.9
279,38.000 ₫,-15%,7,27,4.4,916,0,4.7
280,89.000 ₫,0,74,265,4.4,774,2,4.4
281,455.000 ₫,-7%,12,30,4.8,21708,5,4.8
282,138.000 ₫,0,3,9,4.2,82,2,3
283,145.275 ₫,-35%,22,84,4.5,51,2,4.3
284,2.094.000 ₫,-40%,12,49,4.5,8294,6,3.9
285,48.000 ₫,0,2,8,3.9,76,1,5
286,189.000 ₫,-44%,4,17,4.4,91,2,4.8
287,35.000 ₫,-30%,15,71,4.6,441,3,4.5
288,177.000 ₫,0,34,81,4.5,1843,1,4.6
289,1.400.000 ₫,-30%,4,5,4.7,5939,2,5
290,32.000 ₫,-20%,2,11,4.6,1843,1,5
291,239.000 ₫,0,49,207,4.2,13,1,4.1
292,179.000 ₫,0,8,20,4.2,82,2,4.8
293,11.000 ₫,0,3,6,4.4,135,0,5
294,45.000 ₫,-17%,2,4,4.5,1,1,4.5
295,235.000 ₫,0,2,2,5.0,6,4,5
296,55.000 ₫,0,1,3,2.6,10,1,1
297,129.000 ₫,-17%,46,134,4.3,215,2,4.3
298,195.000 ₫,0,33,110,4.4,135,1,4.4
299,91.000 ₫,-11%,7,44,4.7,14,1,4.7
300,123.000 ₫,0,2,15,4.3,86,2,4
301,324.000 ₫,-41%,81,197,4.7,2048,4,4.8
302,9.000 ₫,0,2,19,5.0,30,2,5
303,324.000 ₫,-28%,38,102,4.7,2048,4,4.8
304,219.000 ₫,0,11,31,4.4,91,2,4.6
305,39.000 ₫,-35%,3,14,4.6,1843,1,5
306,149.000 ₫,-17%,2,5,5.0,2,2,5
307,330.000 ₫,-17%,78,184,4.0,241,1,4.5
308,165.000 ₫,-23%,149,365,4.4,194,2,4.6
309,169.000 ₫,0,82,160,4.4,618,1,4.5
310,176.000 ₫,-5%,3,13,4.8,21708,5,5
311,379.000 ₫,-36%,15,38,4.6,19,1,4.6
312,1.794.000 ₫,-40%,20,45,4.5,8294,6,4.4
313,278.000 ₫,-43%,44,143,4.4,91,2,4.5
314,1.194.000 ₫,-40%,23,68,4.5,8294,6,4.9
315,223.500 ₫,0,47,147,4.5,1843,1,4.5
316,2.994.000 ₫,-40%,7,13,4.5,8294,6,4.6
317,39.000 ₫,0,441,1866,4.4,261,0,4.5
318,250.000 ₫,-40%,34,162,4.6,441,4,4.6
319,155.000 ₫,0,11,32,4.2,39,1,4.5
320,75.000 ₫,-25%,10,48,4.6,441,4,4.8
321,13.410 ₫,-10%,0,2,4.6,888,4,0
322,324.000 ₫,-28%,66,159,4.7,2048,4,4.7
323,249.000 ₫,-29%,55,171,4.6,1638,2,4.4
324,1.245.000 ₫,-50%,27,76,4.5,8294,6,4.5
325,195.000 ₫,0,11,25,4.5,1843,1,4
326,1.158.000 ₫,-8%,4,13,4.8,21708,6,5
327,470.000 ₫,0,102,387,4.6,1945,1,4.7
328,199.000 ₫,0,0,2,4.3,152,2,0
329,199.000 ₫,0,25,47,4.2,87,2,4.5
330,8.000 ₫,-20%,57,642,4.4,22,0,4.6
331,199.999 ₫,0,6,16,4.3,152,2,3.7
332,39.500 ₫,0,61,174,4.6,1638,3,4.8
333,35.000 ₫,0,23,162,4.6,57,0,4.8
334,60.000 ₫,0,4,14,4.7,304,3,5
335,74.250 ₫,-1%,5,21,4.2,19,1,4
336,569.000 ₫,-18%,133,272,4.7,2048,4,4.8
337,27.000 ₫,0,14,148,4.0,30,0,4.1
338,50.000 ₫,0,0,0,5.0,11,1,0
339,38.000 ₫,0,10,112,4.7,339,1,4.9
340,35.000 ₫,-36%,9,66,3.7,260,0,4.9
341,58.000 ₫,0,24,147,4.7,73,1,4.8
342,1.494.000 ₫,-40%,18,35,4.5,8294,6,4.9
343,65.500 ₫,-15%,30,225,4.5,10,2,4.8
344,35.000 ₫,-50%,14,114,4.6,441,3,0
345,599.000 ₫,-38%,20,57,4.7,2150,4,4.9
346,39.000 ₫,-32%,32,196,4.7,2252,0,4.8
347,75.000 ₫,0,12,36,4.1,15,1,4.5
348,25.000 ₫,-50%,218,1324,4.6,441,3,4.6
349,89.500 ₫,-50%,81,234,4.7,331,2,4.6
350,255.000 ₫,-27%,15,54,4.4,1228,1,4.5
351,563.000 ₫,-32%,73,183,4.7,2150,4,4.9
