id,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
1016,249.000 ₫,-29%,4,20,4.7,719,5,5.0
1017,59.000 ₫,-34%,103,499,4.2,665,1,4.2
1018,340.400 ₫,-17%,5,20,3.7,65,5,4.0
1019,295.000 ₫,-9%,2,12,4.7,245,5,5.0
1020,159.000 ₫,0,159,618,4.7,2662,5,4.8
1021,99.000 ₫,0,2,5,4.7,2662,5,5.0
1022,249.000 ₫,0,8,19,4.2,74,3,3.8
1023,198.000 ₫,-10%,21,111,4.6,115,2,4.9
1024,195.000 ₫,-50%,15,52,4.4,239,4,4.3
1025,65.000 ₫,0,45,215,4.2,840,5,4.2
1026,79.000 ₫,0,2,3,3.0,20,1,3.0
1027,126.500 ₫,-28%,3,7,4.3,559,5,4.7
1028,139.000 ₫,0,20,51,4.6,6,1,4.7
1029,198.000 ₫,-10%,21,111,4.6,115,2,4.9
1030,159.000 ₫,-50%,1,12,4.7,802,1,5.0
1031,195.000 ₫,-50%,15,52,4.4,239,4,4.3
1032,104.500 ₫,-45%,3,12,4.7,46,1,5.0
1033,66.500 ₫,-30%,11,30,4.4,48,4,4.5
1034,79.000 ₫,-17%,13,47,4.4,33,1,3.8
1035,449.500 ₫,-50%,0,0,3.8,2,1,0.0
1036,58.000 ₫,0,2,12,4.4,26,1,4.5
1037,59.000 ₫,0,3,4,3.9,565,1,4.3
1038,79.000 ₫,-10%,1,1,4.7,779,2,4.0
1039,199.000 ₫,-62%,8,21,4.7,952,3,5.0
1040,157.000 ₫,-52%,8,29,4.7,11673,4,5.0
1041,155.000 ₫,-20%,13,48,4.2,5,2,4.1
1042,75.000 ₫,0,3,35,3.9,849,1,3.3
1043,199.000 ₫,-30%,2,6,4.5,620,2,5.0
1044,292.500 ₫,-55%,1,4,4.7,119,2,5.0
1045,60.000 ₫,-25%,62,138,4.5,2252,6,4.6
1046,133.200 ₫,0,1,1,4.6,60,1,5.0
1047,84.000 ₫,0,2,21,3.9,849,1,5.0
1048,467.000 ₫,-53%,7,26,4.7,11673,4,0.0
1049,154.800 ₫,0,2,4,4.6,60,1,4.5
1050,93.100 ₫,-5%,21,106,2.9,504,1,4.2
1051,200.000 ₫,0,8,27,4.5,265,1,4.8
